strain	accession	type	subtype	year	database	wic_role	virus_measurement_count	reference_measurement_count
A/BEIJING/46/1992		A	H3N2	1992		reference_only	0	11
A/HONGKONG/4018/2017		A	H3N2	2017		reference_only	0	16
A/HONGKONG/5576/2014		A	H3N2	2014		reference_only	0	13
A/HONGKONG/7295/2014		A	H3N2	2014		reference_only	0	13
A/NETHERLANDS/379/2009		A	H3N2	2009		reference_only	0	13
A/NORWAY/4436/2016		A	H3N2	2016		reference_only	0	912
A/OMAN/2585/2016		A	H3N2	2016		reference_only	0	798
A/SYDNEY/174/1998		A	H3N2	1998		reference_only	0	1
A/VICTORIA/4/1994		A	H3N2	1994		reference_only	0	20
NIB26		A	H3N2			reference_only	0	5
A/AICHI/2/1968		A	H3N2	1968		virus_and_reference	13	14
A/AICHI/2/1968@X31		A	H3N2			virus_and_reference	28	86
A/AKITA/1/1994		A	H3N2	1994		virus_and_reference	7	9
A/ALABAMA/5/2010		A	H3N2	2010		virus_and_reference	1089	3051
A/ALASKA/05/2010		A	H3N2	2010		virus_and_reference	10	9
A/ALASKA/5/2010		A	H3N2	2010		virus_and_reference	43	59
A/ALMATY/2958/2013		A	H3N2	2013		virus_and_reference	80	93
A/ALMATY/2958/2013@NIB85		A	H3N2			virus_and_reference	313	990
A/ALMATY/2958/2013@NIB85B		A	H3N2			virus_and_reference	62	154
A/ANHUI/1238/2005		A	H3N2	2005		virus_and_reference	56	147
A/ANNECY/1138/2005		A	H3N2	2005		virus_and_reference	119	258
A/ARAGON/2103/2014		A	H3N2	2014		virus_and_reference	26	15
A/ATHENS/112/2012		A	H3N2	2012		virus_and_reference	1029	2767
A/AUCKLAND/16/1999		A	H3N2	1999		virus_and_reference	29	33
A/AUCKLAND/28/1999		A	H3N2	1999		virus_and_reference	20	33
A/AUK/5/1996		A	H3N2	1996		virus_and_reference	7	10
A/BADENWURTTEMBURG/38/2005		A	H3N2	2005		virus_and_reference	72	216
A/BANGKOK/1/1979		A	H3N2	1979		virus_and_reference	48	73
A/BANGKOK/1/1997		A	H3N2	1997		virus_and_reference	18	71
A/BANGKOK/122/1994		A	H3N2	1994		virus_and_reference	60	172
A/BANGKOK/139/1990		A	H3N2	1990		virus_and_reference	14	9
A/BANGLADESH/4005/2020		A	H3N2	2020		virus_and_reference	80	100
A/BANGLADESH/911009/2020		A	H3N2	2020		virus_and_reference	12	13
A/BAYERN/4/2006		A	H3N2	2006		virus_and_reference	278	878
A/BAYERN/7/1995		A	H3N2	1995		virus_and_reference	28	52
A/BEIJING/262/1995		A	H3N2	1995		virus_and_reference	14	33
A/BEIJING/32/1992		A	H3N2	1992		virus_and_reference	312	2414
A/BEIJING/352/1989		A	H3N2	1989		virus_and_reference	152	1867
A/BEIJING/39/1992		A	H3N2	1992		virus_and_reference	7	20
A/BELGIUM/G0023/2019		A	H3N2	2019		virus_and_reference	17	12
A/BELGIUM/G0023/2019@NIB117		A	H3N2			virus_and_reference	8	6
A/BERLIN/2/2006		A	H3N2	2006		virus_and_reference	285	916
A/BERLIN/93/2011		A	H3N2	2011		virus_and_reference	811	2022
A/BRATISLAVA/6/1997		A	H3N2	1997		virus_and_reference	200	580
A/BRAZIL/2/1991		A	H3N2	1991		virus_and_reference	18	23
A/BRAZIL/2/1991@LOT92		A	H3N2			virus_and_reference	9	11
A/BRETAGNE/1413/2017		A	H3N2	2017		virus_and_reference	479	1044
A/BRETAGNE/1565/2017		A	H3N2	2017		virus_and_reference	12	9
A/BRISBANE/10/2007		A	H3N2	2007		virus_and_reference	1071	2865
A/BRISBANE/2/1990		A	H3N2	1990		virus_and_reference	20	21
A/BRISBANE/202/2007		A	H3N2	2007		virus_and_reference	13	17
A/BRISBANE/229/2007		A	H3N2	2007		virus_and_reference	13	17
A/BRISBANE/24/2008		A	H3N2	2008		virus_and_reference	245	866
A/BRISBANE/299/2011		A	H3N2	2011		virus_and_reference	14	33
A/BRISBANE/299/2011@IVR164		A	H3N2			virus_and_reference	26	35
A/BRISBANE/3/2005		A	H3N2	2005		virus_and_reference	50	136
A/BUCHAREST/226/1999		A	H3N2	1999		virus_and_reference	26	60
A/BUCHAREST/229/1999		A	H3N2	1999		virus_and_reference	89	205
A/BUCURESTI/193605/2016		A	H3N2	2016		virus_and_reference	25	18
A/BULGARIA/270/2013		A	H3N2	2013		virus_and_reference	47	16
A/CAEN/1/1984		A	H3N2	1984		virus_and_reference	16	31
A/CALIFORNIA/32/1999		A	H3N2	1999		virus_and_reference	8	13
A/CALIFORNIA/55/2020		A	H3N2	2020		virus_and_reference	22	26
A/CALIFORNIA/7/2004		A	H3N2	2004		virus_and_reference	713	2507
A/CAMBODIA/925256/2020		A	H3N2	2020		virus_and_reference	27	38
A/CAMBODIA/E0826360/2020		A	H3N2	2020		virus_and_reference	86	75
A/CHRISTCHURCH/1/1996		A	H3N2	1996		virus_and_reference	8	24
A/CHRISTCHURCH/28/2003		A	H3N2	2003		virus_and_reference	342	1326
A/CHRISTCHURCH/29/1990		A	H3N2	1990		virus_and_reference	21	21
A/CHRISTCHURCH/3/1990		A	H3N2	1990		virus_and_reference	21	21
A/CHRISTCHURCH/5/1996		A	H3N2	1996		virus_and_reference	13	24
A/CHRISTCHURCH/515/2018		A	H3N2	2018		virus_and_reference	10	44
A/CHRISTCHURCH/7A/1993		A	H3N2	1993		virus_and_reference	10	24
A/CNIC/149/1998		A	H3N2	1998		virus_and_reference	8	8
A/CNIC/96/1998		A	H3N2	1998		virus_and_reference	14	23
A/DARWIN/5/1999		A	H3N2	1999		virus_and_reference	39	33
A/DENMARK/3264/2019		A	H3N2	2019		virus_and_reference	135	186
A/DENMARK/45/2012		A	H3N2	2012		virus_and_reference	24	17
A/DUNEDIN/13/1990		A	H3N2	1990		virus_and_reference	13	21
