query_strain	Isolate_Name	Isolate_Id	Collection_Date	Location	Host	metadata_file
A/ABIDJAN/456/2021	A/Abidjan/456/2021	EPI_ISL_4005746	2021-07-07	Europe / France	Human	gisaid_meta_2020-21.xls
A/ABOBO/GR628/2012	A/Abobo/GR 628/2012	EPI_ISL_131993	2012-06-01	Africa / Cote d'Ivoire	Human	gisaid_meta_2011-2014.xls
A/ABUDHABI/240/2018	A/Abu Dhabi/240/2018	EPI_ISL_307872	2018-01-01	Asia / United Arab Emirates	Human	gisaid_meta_2018.xls
A/ABUDHABI/240/2018	A/Abu Dhabi/240/2018	EPI_ISL_312868	2018-01-01	Asia / United Arab Emirates	Human	gisaid_meta_2018.xls
A/ABUDHABI/240/2018	A/Abu Dhabi/240/2018	EPI_ISL_330969	2018-01-01	Asia / United Arab Emirates	Human	gisaid_meta_2018.xls
A/ABUDHABI/240/2018	A/Abu Dhabi/240/2018	EPI_ISL_332304	2018-01-01	Asia / United Arab Emirates	Human	gisaid_meta_2018.xls
A/ABUDHABI/240/2018	A/Abu Dhabi/240/2018	EPI_ISL_335834	2018-01-01	Asia / United Arab Emirates	Human	gisaid_meta_2018.xls
A/ABUDHABI/240/2018	A/Abu Dhabi/240/2018	EPI_ISL_338293	2018-01-01	Asia / United Arab Emirates	Human	gisaid_meta_2018.xls
A/ACORESPT/11/2013	A/Acores_PT/11/2013	EPI_ISL_144791	2013-01-19	Europe / Portugal	Human	gisaid_meta_2011-2014.xls
A/ADANA/111/2014	A/Adana/111/2014	EPI_ISL_155879	2014-01-08	Asia / Turkey	Human	gisaid_meta_2011-2014.xls
A/ADANA/116/2014	A/Adana/116/2014	EPI_ISL_155880	2014-01-08	Asia / Turkey	Human	gisaid_meta_2011-2014.xls
A/ADANA/117/2014	A/Adana/117/2014	EPI_ISL_155881	2014-01-08	Asia / Turkey	Human	gisaid_meta_2011-2014.xls
A/ADANA/199/2014	A/Adana/199/2014	EPI_ISL_155882	2014-01-10	Asia / Turkey	Human	gisaid_meta_2011-2014.xls
A/ADANA/223/2014	A/Adana/223/2014	EPI_ISL_155883	2014-01-10	Asia / Turkey	Human	gisaid_meta_2011-2014.xls
A/ADANA/66/2014	A/Adana/66/2014	EPI_ISL_155884	2014-01-06	Asia / Turkey	Human	gisaid_meta_2011-2014.xls
A/AICHI/2/1968	A/Aichi/2/1968	EPI_ISL_123225	1968	Asia / Japan / Aichi	Human	gisaid_meta_2010.xls
A/AICHI/2/1968	A/Aichi/2/1968	EPI_ISL_153850	2013	Oceania	Laboratory derived	gisaid_meta_2011-2014.xls
A/AICHI/2/1968	A/Aichi/2/1968	EPI_ISL_236	1968	Asia / Singapore	Human	gisaid_meta_2010.xls
A/AKMOLINSK/145/2017	A/Akmolinsk/145/2017	EPI_ISL_300406	2017-12-25	Asia / Kazakhstan	Human	gisaid_meta_2017.xls
A/AKSARAY/4048/2016	A/Aksaray/4048/2016	EPI_ISL_232833	2016-03-01	Asia / Turkey	Human	gisaid_meta_2015-2016.xls
A/ALASKA/232/2015	A/Alaska/232/2015	EPI_ISL_202884	2015-09-09	North America / United States / Alaska	Human	gisaid_meta_2015-2016.xls
A/ALASKA/232/2015	A/Alaska/232/2015	EPI_ISL_219064	2015	North America / United States / Alaska	Human	gisaid_meta_2015-2016.xls
A/ALASKA/232/2015	A/Alaska/232/2015	EPI_ISL_224268	2015-09-09	North America / United States / Alaska	Human	gisaid_meta_2015-2016.xls
A/ALASKA/232/2015	A/Alaska/232/2015	EPI_ISL_226838	2015-09-09	North America / United States / Alaska	Human	gisaid_meta_2015-2016.xls
A/ALASKA/232/2015	A/Alaska/232/2015	EPI_ISL_239800	2015	North America / United States	Human	gisaid_meta_2015-2016.xls
A/ALASKA/232/2015	A/Alaska/232/2015	EPI_ISL_240112	2015-09-09	North America / United States / Alaska	Human	gisaid_meta_2015-2016.xls
A/ALASKA/5/2010	A/ALASKA/5/2010	EPI_ISL_88045	2010-08-12	North America / United States / Alaska	Human	gisaid_meta_2010.xls
A/ALASKA/5/2010	A/Alaska/5/2010	EPI_ISL_90589	2010-08-12	North America / United States / Alaska	Human	gisaid_meta_2010.xls
A/ALBANIA/9142/2019	A/Albania/9142/2019	EPI_ISL_342077	2019-01-19	Europe / Albania	Human	gisaid_meta_2019.xls
A/ALGERIA/453/2006	A/ALGERIA/453/2006	EPI_ISL_17597	2006	Africa / Algeria	Human	gisaid_meta_2010.xls
A/ALGIERS/120/2012	A/Algiers/120/2012	EPI_ISL_136361	2012-11-17	Africa / Algeria	Human	gisaid_meta_2011-2014.xls
A/ALGIERS/120/2012	A/Algiers/120/2012	EPI_ISL_138452	2012-11-17	Africa / Algeria	Human	gisaid_meta_2011-2014.xls
A/ALGIERS/368/2020	A/Algiers/368/2020	EPI_ISL_434387	2020-02-13	Africa / Algeria	Human	gisaid_meta_2020-21.xls
A/ALGIERS/368/2020	A/Algiers/368/2020	EPI_ISL_486675	2020-02-13	Africa / Algeria	Human	gisaid_meta_2020-21.xls
A/ALMATY/2848/2013	A/Almaty/2848/2013	EPI_ISL_138454	2013-01-15	Asia / Kazakhstan	Human	gisaid_meta_2011-2014.xls
A/ALSACE/1571/2015	A/Alsace/1571/2015	EPI_ISL_191635	2015-03-21	Europe / France / Alsace / Departement du Bas-Rhin	Human	gisaid_meta_2015-2016.xls
A/ALSACE/1571/2015	A/Alsace/1571/2015	EPI_ISL_196596	2015-03-21	Europe / France	Human	gisaid_meta_2015-2016.xls
A/ALSACE/3215/2016	A/Alsace/3215/2016	EPI_ISL_241841	2016-12-09	Europe / France / Alsace	Human	gisaid_meta_2015-2016.xls
A/ALSACE/3215/2016	A/Alsace/3215/2016	EPI_ISL_245164	2016-12-09	Europe / France	Human	gisaid_meta_2015-2016.xls
A/ANKARA/1050/2017	A/Ankara/1050/2017	EPI_ISL_303909	2017-12-01	Asia / Turkey	Human	gisaid_meta_2017.xls
A/ANKARA/1907/2016	A/Ankara/1907/2016	EPI_ISL_267693	2016-12-06	Asia / Turkey	Human	gisaid_meta_2015-2016.xls
A/ANKARA/22/2018	A/Ankara/22/2018	EPI_ISL_299007	2018-01-03	Asia / Turkey	Human	gisaid_meta_2018.xls
A/ANKARA/22/2018	A/Ankara/22/2018	EPI_ISL_312305	2018-01-03	Asia / Turkey / TURKEY	Human	gisaid_meta_2018.xls
A/ANKARA/221/2014	A/Ankara/221/2014	EPI_ISL_155885	2014-01-10	Asia / Turkey	Human	gisaid_meta_2011-2014.xls
A/ANKARA/266/2014	A/Ankara/266/2014	EPI_ISL_156894	2014-01-14	Asia / Turkey	Human	gisaid_meta_2011-2014.xls
A/ANKARA/266/2014	A/Ankara/266/2014	EPI_ISL_158821	2014-01-14	Asia / Turkey	Human	gisaid_meta_2011-2014.xls
A/ANKARA/4084/2013	A/Ankara/4084/2013	EPI_ISL_156895	2013-12-20	Asia / Turkey	Human	gisaid_meta_2011-2014.xls
A/ANKARA/4236/2013	A/Ankara/4236/2013	EPI_ISL_156896	2013-12-30	Asia / Turkey	Human	gisaid_meta_2011-2014.xls
A/ANKARA/4247/2013	A/Ankara/4247/2013	EPI_ISL_155886	2013-12-31	Asia / Turkey	Human	gisaid_meta_2011-2014.xls
A/ANKARA/TR49/2011	A/ANKARA/TR-49/2011	EPI_ISL_96020	2011-01-06	Asia / Turkey	Human	gisaid_meta_2011-2014.xls
A/ANTALYA/204/2011	A/Antalya/204/2011	EPI_ISL_107818	2011-12-19	Asia / Turkey	Human	gisaid_meta_2011-2014.xls
A/ANTALYA/214/2011	A/Antalya/214/2011	EPI_ISL_107819	2011-12-20	Asia / Turkey	Human	gisaid_meta_2011-2014.xls
A/ANTALYA/251/2013	A/Antalya/251/2013	EPI_ISL_153940	2013-12-16	Asia / Turkey	Human	gisaid_meta_2011-2014.xls
A/ANTALYA/3562/2016	A/Antalya/3562/2016	EPI_ISL_232836	2016-02-12	Asia / Turkey	Human	gisaid_meta_2015-2016.xls
A/ANTALYA/4/2018	A/Antalya/4/2018	EPI_ISL_336244	2018-12-18	Asia / Turkey	Human	gisaid_meta_2018.xls
A/ANTALYA/7/2018	A/Antalya/7/2018	EPI_ISL_336246	2018-12-18	Asia / Turkey	Human	gisaid_meta_2018.xls
A/ANTALYA/7/2018	A/Antalya/7/2018	EPI_ISL_364762	2018-12-18	Asia / Turkey	Human	gisaid_meta_2018.xls
A/ANTALYA/TR55/2011	A/ANTALYA/TR-55/2011	EPI_ISL_96022	2011-01-24	Asia / Turkey	Human	gisaid_meta_2011-2014.xls
A/ANTANANARIVO/3635/2012	A/Antananarivo/3635/2012	EPI_ISL_141661	2012-06-14	Africa / Madagascar	Human	gisaid_meta_2011-2014.xls
A/ANTANANARIVO/3669/2012	A/Antananarivo/3669/2012	EPI_ISL_141662	2012-06-13	Africa / Madagascar	Human	gisaid_meta_2011-2014.xls
A/ANTSIRABE/2096/2017	A/Antsirabe/2096/2017	EPI_ISL_276262	2017-05-02	Africa / Madagascar	Human	gisaid_meta_2017.xls
A/ANTSIRABE/2267/2016	A/Antsirabe/2267/2016	EPI_ISL_231803	2016-05-23	Africa / Madagascar	Human	gisaid_meta_2015-2016.xls
A/ARAGON/13140/2020	A/Aragon/13140/2020	EPI_ISL_529037	2020-03-05	Europe / Spain	Human	gisaid_meta_2020-21.xls
A/ARAGON/13141/2020	A/Aragon/13141/2020	EPI_ISL_527185	2020-02-25	Europe / Spain	Human	gisaid_meta_2020-21.xls
A/ARAGON/13141/2020	A/Aragon/13141/2020	EPI_ISL_529038	2020-02-25	Europe / Spain	Human	gisaid_meta_2020-21.xls
A/ARAGON/2031/2014	A/Aragon/2031/2014	EPI_ISL_169244	2014-11-07	Europe / Spain / Aragon	Human	gisaid_meta_2011-2014.xls
A/ARAGON/2031/2014	A/Aragon/2031/2014	EPI_ISL_170262	2014-11-07	Europe / Spain	Human	gisaid_meta_2011-2014.xls
A/ARAGON/2062/2014	A/Aragon/2062/2014	EPI_ISL_13017059	2014-11-27	Europe / Spain	Human	gisaid_meta_2011-2014.xls
A/ARAGON/2062/2014	A/Aragon/2062/2014	EPI_ISL_169380	2014-11-27	Europe / Spain / Aragon	Human	gisaid_meta_2011-2014.xls
A/ARAGON/2062/2014	A/Aragon/2062/2014	EPI_ISL_170263	2014-11-27	Europe / Spain	Human	gisaid_meta_2011-2014.xls
A/ARAGON/2102/2014	A/Aragon/2102/2014	EPI_ISL_169767	2014-12-05	Europe / Spain / Aragon	Human	gisaid_meta_2011-2014.xls
A/ARAGON/2102/2014	A/Aragon/2102/2014	EPI_ISL_171743	2014-12-05	Europe / Spain	Human	gisaid_meta_2011-2014.xls
A/ARAGON/2103/2014	A/Aragon/2103/2014	EPI_ISL_169768	2014-12-02	Europe / Spain / Aragon	Human	gisaid_meta_2011-2014.xls
A/ARAGON/2103/2014	A/Aragon/2103/2014	EPI_ISL_174982	2014-12-02	Europe / Spain	Human	gisaid_meta_2011-2014.xls
A/ARAGON/266/2014	A/Aragon/266/2014	EPI_ISL_154251	2014-01-09	Europe / Spain / Aragon	Human	gisaid_meta_2011-2014.xls
A/ARAGON/266/2014	A/Aragon/266/2014	EPI_ISL_155887	2014-01-09	Europe / Spain	Human	gisaid_meta_2011-2014.xls
A/ARAGON/266/2014	A/Aragon/266/2014	EPI_ISL_156648	2014-01-09	Europe / Spain / Aragon	Human	gisaid_meta_2011-2014.xls
A/ARAGON/271/2014	A/Aragon/271/2014	EPI_ISL_154252	2014-01-08	Europe / Spain / Aragon	Human	gisaid_meta_2011-2014.xls
A/ARAGON/271/2014	A/Aragon/271/2014	EPI_ISL_156649	2014-01-08	Europe / Spain / Aragon	Human	gisaid_meta_2011-2014.xls
A/ARAGON/RR3443/2009	A/Aragon/RR3443/2009	EPI_ISL_32753	2009-01-19	Europe / Spain / Aragon	Human	gisaid_meta_2010.xls
A/ARGENTINA/10/2001	A/Argentina/10/2001	EPI_ISL_186722	2001-06-25	South America / Argentina	Human	gisaid_meta_2010.xls
A/ARGES/126697/2012	A/Arges/126697/2012	EPI_ISL_134079	2012-10-29	Europe / Romania / Judetul Arges	Human	gisaid_meta_2011-2014.xls
A/ARGES/126697/2012	A/Arges/126697/2012	EPI_ISL_136362	2012-10-29	Europe / Romania	Human	gisaid_meta_2011-2014.xls
A/ARGES/14803059/2016	A/Arges/1480-3059/2016	EPI_ISL_212512	2016-02-10	Europe / Romania / Judetul Arges	Human	gisaid_meta_2015-2016.xls
A/ARGES/14803059/2016	A/Arges/1480-3059/2016	EPI_ISL_223630	2016-02-10	Europe / Romania	Human	gisaid_meta_2015-2016.xls
A/ARIZONA/13/2010	A/Arizona/13/2010	EPI_ISL_86093	2010-12-06	North America / United States / Arizona	Human	gisaid_meta_2010.xls
A/ARIZONA/13/2010	A/ARIZONA/13/2010	EPI_ISL_88047	2010-06-12	North America / United States / Arizona	Human	gisaid_meta_2010.xls
A/ARIZONA/13/2010	A/Arizona/13/2010	EPI_ISL_90592	2010-12-06	North America / United States / Arizona	Human	gisaid_meta_2010.xls
A/ARIZONA/13/2010	A/Arizona/13/2010	EPI_ISL_93769	2010-12-06	North America / United States / Arizona	Human	gisaid_meta_2010.xls
A/ARMENIA/1/2017	A/Armenia/1/2017	EPI_ISL_288749	2016-12-06	Asia / Armenia	Human	gisaid_meta_2015-2016.xls
A/ARMENIA/10/2017	A/Armenia/10/2017	EPI_ISL_288750	2016-12-23	Asia / Armenia	Human	gisaid_meta_2015-2016.xls
A/ARMENIA/11/2017	A/Armenia/11/2017	EPI_ISL_288751	2016-12-02	Asia / Armenia	Human	gisaid_meta_2015-2016.xls
A/ARMENIA/12/2017	A/Armenia/12/2017	EPI_ISL_288752	2016-12-02	Asia / Armenia	Human	gisaid_meta_2015-2016.xls
A/ARMENIA/13/2019	A/Armenia/13/2019	EPI_ISL_401536	2019-01-29	Asia / Armenia	Human	gisaid_meta_2019.xls
A/ARMENIA/15/2019	A/Armenia/15/2019	EPI_ISL_401538	2019-02-05	Asia / Armenia	Human	gisaid_meta_2019.xls
A/ARMENIA/2298/2016	A/Armenia/2298/2016	EPI_ISL_267088	2016-12-22	Asia / Armenia	Human	gisaid_meta_2015-2016.xls
A/ARMENIA/2363/2016	A/Armenia/2363/2016	EPI_ISL_256003	2016-12-28	Asia / Armenia	Human	gisaid_meta_2015-2016.xls
A/ARMENIA/3/2017	A/Armenia/3/2017	EPI_ISL_288754	2016-12-28	Asia / Armenia	Human	gisaid_meta_2015-2016.xls
A/ARMENIA/4/2017	A/Armenia/4/2017	EPI_ISL_288755	2016-12-27	Asia / Armenia	Human	gisaid_meta_2015-2016.xls
A/ARMENIA/501/2019	A/Armenia/501/2019	EPI_ISL_388677	2019-02-07	Asia / Armenia	Human	gisaid_meta_2019.xls
A/ARMENIA/501/2019	A/Armenia/501/2019	EPI_ISL_393973	2019-02-07	Asia / Armenia	Human	gisaid_meta_2019.xls
A/ARMENIA/91/2019	A/Armenia/91/2019	EPI_ISL_342080	2019-01-14	Asia / Armenia	Human	gisaid_meta_2019.xls
A/ARMENIA/941/2019	A/Armenia/941/2019	EPI_ISL_388688	2019-05-21	Asia / Armenia	Human	gisaid_meta_2019.xls
A/ARMENIA/941/2019	A/Armenia/941/2019	EPI_ISL_393975	2019-05-21	Asia / Armenia	Human	gisaid_meta_2019.xls
A/ASTRAHKAN/25/2014	A/Astrahkan/25/2014	EPI_ISL_174983	2014-12-16	Europe / Russian Federation	Human	gisaid_meta_2011-2014.xls
A/ASTRAHKAN/26/2014	A/Astrahkan/26/2014	EPI_ISL_174984	2014-12-17	Europe / Russian Federation	Human	gisaid_meta_2011-2014.xls
A/ASTRAKHAN/172/2006	A/ASTRAKHAN/172/2006	EPI_ISL_64016	2006	Europe / Russian Federation	Human	gisaid_meta_2010.xls
A/ASTRAKHAN/2/2013	A/Astrakhan/2/2013	EPI_ISL_141664	2013-02-20	Europe / Russian Federation	Human	gisaid_meta_2011-2014.xls
A/ASTRAKHAN/32/2017	A/Astrakhan/32/2017	EPI_ISL_286932	2017-11-08	Europe / Russian Federation / Astrakhan Oblast	Human	gisaid_meta_2017.xls
A/ASTRAKHAN/32/2017	A/Astrakhan/32/2017	EPI_ISL_287573	2017-11-11	Europe / Russian Federation / Astrakhan Oblast	Human	gisaid_meta_2017.xls
A/ASTRAKHAN/32/2017	A/Astrakhan/32/2017	EPI_ISL_287574	2017-11-08	Europe / Russian Federation / Astrakhan Oblast	Human	gisaid_meta_2017.xls
A/ASTRAKHAN/32/2017	A/Astrakhan/32/2017	EPI_ISL_292892	2017-11-08	Europe / Russian Federation	Human	gisaid_meta_2017.xls
A/ASTRAKHAN/32/2017	A/Astrakhan/32/2017	EPI_ISL_297717	2017-11-08	Europe / Russian Federation / Astrakhan oblast	Human	gisaid_meta_2017.xls
A/ASTRAKHAN/32/2017	A/Astrakhan/32/2017	EPI_ISL_315028	2017-11-08	Europe / Russian Federation	Human	gisaid_meta_2017.xls
A/ATTECOUBE/GR741/2012	A/Attecoube/GR 741/2012	EPI_ISL_131999	2012-07-06	Africa / Cote d'Ivoire	Human	gisaid_meta_2011-2014.xls
A/AUBENAS/2399/2017	A/Aubenas/2399/2017	EPI_ISL_300407	2017-12-11	Europe / France	Human	gisaid_meta_2017.xls
A/AUCKLAND/16/1999	A/Auckland/16/1999	EPI_ISL_3663331	1999-05-14	Oceania / New Zealand / Auckland	Human	gisaid_meta_2010.xls
A/AUCKLAND/169/1999	A/Auckland/169/1999	EPI_ISL_3663333	1999-06-29	Oceania / New Zealand / Auckland	Human	gisaid_meta_2010.xls
A/AUCKLAND/22/2003	A/Auckland/22/2003	EPI_ISL_357513	2003-06-03	Oceania / New Zealand	Human	gisaid_meta_2010.xls
A/AUCKLAND/28/1999	A/Auckland/28/1999	EPI_ISL_3663336	1999-05-06	Oceania / New Zealand / Auckland	Human	gisaid_meta_2010.xls
A/AUCKLAND/6/2014	A/AUCKLAND/6/2014	EPI_ISL_168957	2014-09-09	Oceania / New Zealand / Auckland / South Auckland	Human	gisaid_meta_2011-2014.xls
