analysis	model	rmse	spearman
Neher/Bedford data	site-state	1.9709632398708714	0.7136525417200222
Neher/Bedford data	substitution	2.046377065517249	0.7038465431432636
Neher/Bedford data + patristic	site-state	1.9731156894227102	0.7146119552253136
Neher/Bedford data + patristic	substitution	2.0532832982986116	0.7023946559270049
WIC data	site-state	1.233585157318879	0.8085302130060619
WIC data	substitution	1.2631558166855201	0.7994178532831567
WIC filtered data	site-state	0.9917285876464339	0.7821081449001284
WIC filtered data	substitution	1.0023814025368507	0.7789378625143444
WIC data + patristic	site-state	1.2409408868348635	0.8066932379840862
WIC data + patristic	substitution	1.246718064697581	0.8064728265380353
WIC filtered data + patristic	site-state	0.9818757546801414	0.7871899212150707
WIC filtered data + patristic	substitution	1.0007836994750003	0.7790604770958406
