analysis	model	koel_top30_overlap	neher_top30_overlap	harvey_top30_overlap
Neher/Bedford H3N2	site-state	6/7	11/15	11/15
Neher/Bedford H3N2	substitution	7/7	13/15	13/15
Neher/Bedford H3N2 + patristic	site-state	6/7	10/15	10/15
Neher/Bedford H3N2 + patristic	substitution	7/7	13/15	10/15
Harvey/WIC H3N2	site-state	6/7	10/15	11/15
Harvey/WIC H3N2	substitution	6/7	13/15	12/15
Harvey/WIC H3N2 (filtered)	site-state	5/7	10/15	12/15
Harvey/WIC H3N2 (filtered)	substitution	4/7	9/15	12/15
Harvey/WIC H3N2 + patristic	site-state	6/7	11/15	10/15
Harvey/WIC H3N2 + patristic	substitution	6/7	12/15	10/15
Harvey/WIC H3N2 (filtered + patristic)	site-state	5/7	8/15	10/15
Harvey/WIC H3N2 (filtered + patristic)	substitution	5/7	9/15	11/15
