strain	accession	type	subtype	year	database	wic_role	virus_measurement_count	reference_measurement_count	base_strain	lookup_strain	gisaid_query_strain	decorated_name	match_type	matched_existing_strain	autofilled	repo_match_type	repo_header	repo_strain	repo_matched	repo_aa_length	gisaid_match_type	gisaid_header	gisaid_matched_strain	gisaid_matched	gisaid_aa_length	total_measurement_count	public_lookup_strain	public_status	public_matched_title	public_matched_ha_record	public_note	public_aa_length	gisaid_selected_isolate_id	gisaid_selected_passage	gisaid_selected_lab	gisaid_selection_reason	gisaid_selection_review_flag
A/BEIJING/46/1992		A	H3N2	1992.0		reference_only	0	11	A/BEIJING/46/1992	A/BEIJING/46/1992	A/BEIJING/46/1992	False			False				False					False		11	A/BEIJING/46/1992	no_public_match									False
A/HONGKONG/4018/2017	EPI_ISL_293085	A	H3N2	2017.0	GISAID	reference_only	0	16	A/HONGKONG/4018/2017	A/HONGKONG/4018/2017	A/HONG KONG/4018/2017	False			False				False		canonical_isolate_id	EPI_ISL_293085|A/Hong_Kong/4018/2017|2017-07-28|cs|2017-07-28|Government_Virus_Unit	A/HONG/KONG/4018	True	566	16	A/HONGKONG/4018/2017	no_public_match					EPI_ISL_293085	cs	Government_Virus_Unit	single_isolate_id	False
A/HONGKONG/5576/2014	EPI_ISL_168967	A	H3N2	2014.0	GISAID	reference_only	0	13	A/HONGKONG/5576/2014	A/HONGKONG/5576/2014	A/HONG KONG/5576/2014	False			False				False		canonical_isolate_id	EPI_ISL_168967|A/Hong_Kong/5576/2014|2014-04-05|MDCK2/SIAT2|2014-04-05|Government_Virus_Unit	A/HONG/KONG/5576	True	566	13	A/HONGKONG/5576/2014	no_public_match					EPI_ISL_168967	MDCK2/SIAT2	Government_Virus_Unit	single_isolate_id	False
A/HONGKONG/7295/2014	EPI_ISL_168978	A	H3N2	2014.0	GISAID	reference_only	0	13	A/HONGKONG/7295/2014	A/HONGKONG/7295/2014	A/HONG KONG/7295/2014	False			False				False		canonical_isolate_id	EPI_ISL_168978|A/Hong_Kong/7295/2014|2014-08-07|MDCK1/SIAT2|2014-08-07|Government_Virus_Unit	A/HONG/KONG/7295	True	566	13	A/HONGKONG/7295/2014	no_public_match					EPI_ISL_168978	MDCK1/SIAT2	Government_Virus_Unit	single_isolate_id	False
A/NETHERLANDS/379/2009		A	H3N2	2009.0		reference_only	0	13	A/NETHERLANDS/379/2009	A/NETHERLANDS/379/2009	A/NETHERLANDS/379/2009	False			False				False					False		13	A/NETHERLANDS/379/2009	no_public_match									False
A/NORWAY/4436/2016	EPI_ISL_239785	A	H3N2	2016.0	GISAID	reference_only	0	912	A/NORWAY/4436/2016	A/NORWAY/4436/2016	A/NORWAY/4436/2016	False			False				False		canonical_isolate_id	EPI_ISL_239785|A/Norway/4436/2016|2016-11-03|SIAT1|2016-11-03|WHO_National_Influenza_Centre	A/NORWAY/4436/2016	True	566	912	A/NORWAY/4436/2016						EPI_ISL_239785	SIAT1	WHO_National_Influenza_Centre	single_isolate_id	False
A/OMAN/2585/2016	EPI_ISL_223655	A	H3N2	2016.0	GISAID	reference_only	0	798	A/OMAN/2585/2016	A/OMAN/2585/2016	A/OMAN/2585/2016	False			False				False		canonical_isolate_id	EPI_ISL_223655|A/Oman/2585/2016|2016-03-04|SIAT1|2016-03-04|Central_Public_Health_Laboratory,_Ministry_of_Health	A/OMAN/2585/2016	True	566	798	A/OMAN/2585/2016						EPI_ISL_223655	SIAT1	Central_Public_Health_Laboratory,_Ministry_of_Health	single_isolate_id	False
A/SYDNEY/174/1998		A	H3N2	1998.0		reference_only	0	1	A/SYDNEY/174/1998	A/SYDNEY/174/1998	A/SYDNEY/174/1998	False			False				False					False		1	A/SYDNEY/174/1998	no_public_match									False
A/VICTORIA/4/1994		A	H3N2	1994.0		reference_only	0	20	A/VICTORIA/4/1994	A/VICTORIA/4/1994	A/VICTORIA/4/1994	False			False				False					False		20	A/VICTORIA/4/1994	ird_match									False
NIB26		A	H3N2			reference_only	0	5	NIB26	NIB26	NIB26	False			False				False					False		5	NIB26	skipped_malformed_lookup									False
A/AICHI/2/1968	EPI_ISL_236	A	H3N2	1968.0	GISAID	virus_and_reference	13	14	A/AICHI/2/1968	A/AICHI/2/1968	A/AICHI/2/1968	False			False				False		canonical_isolate_id	EPI_ISL_236|A/Aichi/2/1968|1968-01-01||1968-01-01|	A/AICHI/2/1968	True	566	27	A/AICHI/2/1968						EPI_ISL_236			prefer_passage_class	True
A/AICHI/2/1968@X31	EPI_ISL_236	A	H3N2		GISAID	virus_and_reference	28	86	A/AICHI/2/1968	A/AICHI/2/1968	A/AICHI/2/1968	True			False				False		canonical_isolate_id	EPI_ISL_236|A/Aichi/2/1968|1968-01-01||1968-01-01|	A/AICHI/2/1968	True	566	114	A/AICHI/2/1968						EPI_ISL_236			prefer_passage_class	True
A/AKITA/1/1994	A_AKITA_1_1994	A	H3N2	1994.0	PAPER_REPO_HA1	virus_and_reference	7	9	A/AKITA/1/1994	A/AKITA/1/1994	A/AKITA/1/1994	False			False	repo_exact	A_AKITA_1_1994	A/AKITA/1/1994	True	328.0				False		16	A/AKITA/1/1994										False
A/ALABAMA/5/2010	A_ALABAMA_5_2010	A	H3N2	2010.0	PAPER_REPO_HA1	virus_and_reference	1089	3051	A/ALABAMA/5/2010	A/ALABAMA/5/2010	A/ALABAMA/5/2010	False	exact_strain	A/Alabama/5/2010	True	repo_exact	A_ALABAMA_5_2010	A/ALABAMA/5/2010	True	328.0				False		4140	A/ALABAMA/5/2010										False
A/ALASKA/05/2010	EPI_ISL_88045	A	H3N2	2010.0	GISAID	virus_and_reference	10	9	A/ALASKA/5/2010	A/ALASKA/5/2010	A/ALASKA/5/2010	True	base_strain	A/Alaska/5/2010	True				False		canonical_isolate_id	EPI_ISL_88045|A/ALASKA/5/2010|2010-08-12|E3|2010-08-12|Centers_for_Disease_Control_and_Prevention	A/ALASKA/5/2010	True	566	19	A/ALASKA/5/2010						EPI_ISL_88045	E3	Centers_for_Disease_Control_and_Prevention	identical_sequences	False
A/ALASKA/5/2010	EPI_ISL_88045	A	H3N2	2010.0	GISAID	virus_and_reference	43	59	A/ALASKA/5/2010	A/ALASKA/5/2010	A/ALASKA/5/2010	False	exact_strain	A/Alaska/5/2010	True				False		canonical_isolate_id	EPI_ISL_88045|A/ALASKA/5/2010|2010-08-12|E3|2010-08-12|Centers_for_Disease_Control_and_Prevention	A/ALASKA/5/2010	True	566	102	A/ALASKA/5/2010						EPI_ISL_88045	E3	Centers_for_Disease_Control_and_Prevention	identical_sequences	False
A/ALMATY/2958/2013	A_ALMATY_2958_2013	A	H3N2	2013.0	PAPER_REPO_HA1	virus_and_reference	80	93	A/ALMATY/2958/2013	A/ALMATY/2958/2013	A/ALMATY/2958/2013	False			False	repo_exact	A_ALMATY_2958_2013	A/ALMATY/2958/2013	True	328.0				False		173	A/ALMATY/2958/2013										False
A/ALMATY/2958/2013@NIB85	A_ALMATY_2958_2013	A	H3N2		PAPER_REPO_HA1	virus_and_reference	313	990	A/ALMATY/2958/2013	A/ALMATY/2958/2013	A/ALMATY/2958/2013	True			False	repo_exact	A_ALMATY_2958_2013	A/ALMATY/2958/2013	True	328.0				False		1303	A/ALMATY/2958/2013										False
A/ALMATY/2958/2013@NIB85B	A_ALMATY_2958_2013	A	H3N2		PAPER_REPO_HA1	virus_and_reference	62	154	A/ALMATY/2958/2013	A/ALMATY/2958/2013	A/ALMATY/2958/2013	True			False	repo_exact	A_ALMATY_2958_2013	A/ALMATY/2958/2013	True	328.0				False		216	A/ALMATY/2958/2013										False
A/ANHUI/1238/2005	A_ANHUI_1238_2005	A	H3N2	2005.0	PAPER_REPO_HA1	virus_and_reference	56	147	A/ANHUI/1238/2005	A/ANHUI/1238/2005	A/ANHUI/1238/2005	False	exact_strain	A/Anhui/1238/2005	True	repo_exact	A_ANHUI_1238_2005	A/ANHUI/1238/2005	True	328.0				False		203	A/ANHUI/1238/2005										False
A/ANNECY/1138/2005		A	H3N2	2005.0		virus_and_reference	119	258	A/ANNECY/1138/2005	A/ANNECY/1138/2005	A/ANNECY/1138/2005	False			False				False					False		377	A/ANNECY/1138/2005	no_public_match									False
A/ARAGON/2103/2014	EPI_ISL_174982	A	H3N2	2014.0	GISAID	virus_and_reference	26	15	A/ARAGON/2103/2014	A/ARAGON/2103/2014	A/ARAGON/2103/2014	False			False				False		canonical_isolate_id	EPI_ISL_174982|A/Aragon/2103/2014|2014-12-02|SIAT2/SIAT1|2014-12-02|Instituto_de_Salud_Carlos_III	A/ARAGON/2103/2014	True	566	41	A/ARAGON/2103/2014						EPI_ISL_174982	SIAT2/SIAT1	Instituto_de_Salud_Carlos_III	prefer_longest_sequence	False
A/ATHENS/112/2012	A_ATHENS_112_2012	A	H3N2	2012.0	PAPER_REPO_HA1	virus_and_reference	1029	2767	A/ATHENS/112/2012	A/ATHENS/112/2012	A/ATHENS/112/2012	False			False	repo_exact	A_ATHENS_112_2012	A/ATHENS/112/2012	True	328.0				False		3796	A/ATHENS/112/2012										False
A/AUCKLAND/16/1999	EPI_ISL_3663331	A	H3N2	1999.0	GISAID	virus_and_reference	29	33	A/AUCKLAND/16/1999	A/AUCKLAND/16/1999	A/AUCKLAND/16/1999	False			False				False		canonical_isolate_id	EPI_ISL_3663331|A/Auckland/16/1999|1999-05-14|MDCKX|1999-05-14|Auckland_Hospital	A/AUCKLAND/16/1999	True	337	62	A/AUCKLAND/16/1999						EPI_ISL_3663331	MDCKX	Auckland_Hospital	single_isolate_id	False
A/AUCKLAND/28/1999	EPI_ISL_3663336	A	H3N2	1999.0	GISAID	virus_and_reference	20	33	A/AUCKLAND/28/1999	A/AUCKLAND/28/1999	A/AUCKLAND/28/1999	False			False				False		canonical_isolate_id	EPI_ISL_3663336|A/Auckland/28/1999|1999-05-06|MDCKX|1999-05-06|Auckland_Hospital	A/AUCKLAND/28/1999	True	332	53	A/AUCKLAND/28/1999						EPI_ISL_3663336	MDCKX	Auckland_Hospital	single_isolate_id	False
A/AUK/5/1996		A	H3N2	1996.0		virus_and_reference	7	10	A/AUK/5/1996	A/AUK/5/1996	A/AUK/5/1996	False			False				False					False		17	A/AUK/5/1996	no_public_match									False
A/BADENWURTTEMBURG/38/2005		A	H3N2	2005.0		virus_and_reference	72	216	A/BADENWURTTEMBURG/38/2005	A/BADENWURTTEMBURG/38/2005	A/BADENWURTTEMBURG/38/2005	False			False				False					False		288	A/BADENWURTTEMBURG/38/2005	no_public_match									False
A/BANGKOK/1/1979	EPI_ISL_115698	A	H3N2	1979.0	GISAID	virus_and_reference	48	73	A/BANGKOK/1/1979	A/BANGKOK/1/1979	A/BANGKOK/1/1979	False	exact_strain	A/Bangkok/1/1979	True				False		canonical_isolate_id	EPI_ISL_115698|A/Bangkok/1/1979|1979-01-01|xtMK3_MDCK2|1979-01-01|	A/BANGKOK/1/1979	True	566	121	A/BANGKOK/1/1979						EPI_ISL_115698	xtMK3_MDCK2		prefer_passage_class	True
A/BANGKOK/1/1997	A_BANGKOK_1_1997	A	H3N2	1997.0	PAPER_REPO_HA1	virus_and_reference	18	71	A/BANGKOK/1/1997	A/BANGKOK/1/1997	A/BANGKOK/1/1997	False			False	repo_exact	A_BANGKOK_1_1997	A/BANGKOK/1/1997	True	328.0				False		89	A/BANGKOK/1/1997										False
A/BANGKOK/122/1994	A_BANGKOK_122_1994	A	H3N2	1994.0	PAPER_REPO_HA1	virus_and_reference	60	172	A/BANGKOK/122/1994	A/BANGKOK/122/1994	A/BANGKOK/122/1994	False			False	repo_exact	A_BANGKOK_122_1994	A/BANGKOK/122/1994	True	328.0				False		232	A/BANGKOK/122/1994										False
A/BANGKOK/139/1990	A_BANGKOK_139_1990	A	H3N2	1990.0	PAPER_REPO_HA1	virus_and_reference	14	9	A/BANGKOK/139/1990	A/BANGKOK/139/1990	A/BANGKOK/139/1990	False			False	repo_exact	A_BANGKOK_139_1990	A/BANGKOK/139/1990	True	328.0				False		23	A/BANGKOK/139/1990										False
A/BANGLADESH/4005/2020	EPI_ISL_959654	A	H3N2	2020.0	GISAID	virus_and_reference	80	100	A/BANGLADESH/4005/2020	A/BANGLADESH/4005/2020	A/BANGLADESH/4005/2020	False			False				False		canonical_isolate_id	EPI_ISL_717674|A/Bangladesh/4005/2020|2020-10-04|Original|2020-10-04|icddr,b_International_Centre_for_Diarrhoeal_Disease_Research,_Bangladesh	A/BANGLADESH/4005/2020	True	566	180	A/BANGLADESH/4005/2020						EPI_ISL_717674	Original	icddr,b_International_Centre_for_Diarrhoeal_Disease_Research,_Bangladesh	identical_sequences	False
A/BANGLADESH/911009/2020	EPI_ISL_2932737	A	H3N2	2020.0	GISAID	virus_and_reference	12	13	A/BANGLADESH/911009/2020	A/BANGLADESH/911009/2020	A/BANGLADESH/911009/2020	False			False				False		canonical_isolate_id	EPI_ISL_717688|A/Bangladesh/911009/2020|2020-09-03|Original|2020-09-03|icddr,b_International_Centre_for_Diarrhoeal_Disease_Research,_Bangladesh	A/BANGLADESH/911009/2020	True	566	25	A/BANGLADESH/911009/2020						EPI_ISL_717688	Original	icddr,b_International_Centre_for_Diarrhoeal_Disease_Research,_Bangladesh	prefer_passage_class	False
A/BAYERN/4/2006	A_BAYERN_4_2006	A	H3N2	2006.0	PAPER_REPO_HA1	virus_and_reference	278	878	A/BAYERN/4/2006	A/BAYERN/4/2006	A/BAYERN/4/2006	False			False	repo_exact	A_BAYERN_4_2006	A/BAYERN/4/2006	True	328.0				False		1156	A/BAYERN/4/2006										False
