query_strain	Isolate_Name	Isolate_Id	Collection_Date	Location	Host	metadata_file	header_strain	header_collection_date	header_passage	header_submission_date	header_lab	header_raw	sequence_length	ambiguity_count	sequence_hash	passage_class	passage_score	passage_burden	is_max_length	is_ha1_complete	variant_count_at_max_length	group_n_ids	group_n_unique_sequences	group_max_length	group_n_max_length_variants	group_selected_class	group_n_selected_class_variants	group_top_variant_count	group_second_variant_count	group_top_variant_fraction	group_min_pairwise_diff_selected_class	group_max_pairwise_diff_selected_class	selection_reason	review_flag
A/ABIDJAN/456/2021	A/Abidjan/456/2021	EPI_ISL_4005746	2021-07-07	Europe / France	Human	gisaid_meta_2020-21.xls	A/Abidjan/456/2021	2021-07-07	MDCK3/SIAT1	2021-07-07	CNR_Virus_des_Infections_Respiratoires_-_France_SUD	EPI_ISL_4005746|A/Abidjan/456/2021|2021-07-07|MDCK3/SIAT1|2021-07-07|CNR_Virus_des_Infections_Respiratoires_-_France_SUD	566	0	e7e4a91a313f7ef9	cell	1	4	True	True	1	1	1	566	1	ha1_complete	1	1	0	1.0	0	0	single_isolate_id	False
A/ABOBO/GR628/2012	A/Abobo/GR 628/2012	EPI_ISL_131993	2012-06-01	Africa / Cote d'Ivoire	Human	gisaid_meta_2011-2014.xls	A/Abobo/GR/628/2012	2012-06-01	Cx/SIAT1	2012-06-01	Pasteur_Institut_of_Cote_d'Ivoire	EPI_ISL_131993|A/Abobo/GR_628/2012|2012-06-01|Cx/SIAT1|2012-06-01|Pasteur_Institut_of_Cote_d'Ivoire	566	0	4f2197316045f0c5	cell	1	1	True	True	1	1	1	566	1	ha1_complete	1	1	0	1.0	0	0	single_isolate_id	False
A/ABUDHABI/240/2018	A/Abu Dhabi/240/2018	EPI_ISL_307872	2018-01-01	Asia / United Arab Emirates	Human	gisaid_meta_2018.xls	A/Abu/Dhabi/240/2018	2018-01-01	Original	2018-01-01	Shaikh_Khalifa_Medical_City	EPI_ISL_307872|A/Abu_Dhabi/240/2018|2018-01-01|Original|2018-01-01|Shaikh_Khalifa_Medical_City	566	0	04b47a68125a6273	original	0	0	True	True	3	6	3	566	3	ha1_complete	3	3	2	0.5	1	4	prefer_passage_class	True
A/ACORESPT/11/2013	A/Acores_PT/11/2013	EPI_ISL_144791	2013-01-19	Europe / Portugal	Human	gisaid_meta_2011-2014.xls	A/Acores/PT/11/2013	2013-01-19	SIAT1/SIAT1	2013-01-19	Instituto_Nacional_de_Saude_(INSA)	EPI_ISL_144791|A/Acores_PT/11/2013|2013-01-19|SIAT1/SIAT1|2013-01-19|Instituto_Nacional_de_Saude_(INSA)	566	0	d9db16d81630d951	cell	1	2	True	True	1	1	1	566	1	ha1_complete	1	1	0	1.0	0	0	single_isolate_id	False
A/ADANA/111/2014	A/Adana/111/2014	EPI_ISL_155879	2014-01-08	Asia / Turkey	Human	gisaid_meta_2011-2014.xls	A/Adana/111/2014	2014-01-08	SIAT1/SIAT1	2014-01-08	Refik_Saydam_National_Public_Health_Agency	EPI_ISL_155879|A/Adana/111/2014|2014-01-08|SIAT1/SIAT1|2014-01-08|Refik_Saydam_National_Public_Health_Agency	566	0	cfbd9a2ff1971d19	cell	1	2	True	True	1	1	1	566	1	ha1_complete	1	1	0	1.0	0	0	single_isolate_id	False
A/ADANA/116/2014	A/Adana/116/2014	EPI_ISL_155880	2014-01-08	Asia / Turkey	Human	gisaid_meta_2011-2014.xls	A/Adana/116/2014	2014-01-08	SIAT1/SIAT1	2014-01-08	Refik_Saydam_National_Public_Health_Agency	EPI_ISL_155880|A/Adana/116/2014|2014-01-08|SIAT1/SIAT1|2014-01-08|Refik_Saydam_National_Public_Health_Agency	566	0	e71165129920c43a	cell	1	2	True	True	1	1	1	566	1	ha1_complete	1	1	0	1.0	0	0	single_isolate_id	False
A/ADANA/117/2014	A/Adana/117/2014	EPI_ISL_155881	2014-01-08	Asia / Turkey	Human	gisaid_meta_2011-2014.xls	A/Adana/117/2014	2014-01-08	SIAT1/SIAT1	2014-01-08	Refik_Saydam_National_Public_Health_Agency	EPI_ISL_155881|A/Adana/117/2014|2014-01-08|SIAT1/SIAT1|2014-01-08|Refik_Saydam_National_Public_Health_Agency	566	1	6e5754b7ce415b79	cell	1	2	True	True	1	1	1	566	1	ha1_complete	1	1	0	1.0	0	0	single_isolate_id	False
A/ADANA/199/2014	A/Adana/199/2014	EPI_ISL_155882	2014-01-10	Asia / Turkey	Human	gisaid_meta_2011-2014.xls	A/Adana/199/2014	2014-01-10	SIAT1/SIAT1	2014-01-10	Refik_Saydam_National_Public_Health_Agency	EPI_ISL_155882|A/Adana/199/2014|2014-01-10|SIAT1/SIAT1|2014-01-10|Refik_Saydam_National_Public_Health_Agency	566	0	e8a1c9880e0a5523	cell	1	2	True	True	1	1	1	566	1	ha1_complete	1	1	0	1.0	0	0	single_isolate_id	False
A/ADANA/223/2014	A/Adana/223/2014	EPI_ISL_155883	2014-01-10	Asia / Turkey	Human	gisaid_meta_2011-2014.xls	A/Adana/223/2014	2014-01-10	SIAT1/SIAT1	2014-01-10	Refik_Saydam_National_Public_Health_Agency	EPI_ISL_155883|A/Adana/223/2014|2014-01-10|SIAT1/SIAT1|2014-01-10|Refik_Saydam_National_Public_Health_Agency	566	0	cfbd9a2ff1971d19	cell	1	2	True	True	1	1	1	566	1	ha1_complete	1	1	0	1.0	0	0	single_isolate_id	False
A/ADANA/66/2014	A/Adana/66/2014	EPI_ISL_155884	2014-01-06	Asia / Turkey	Human	gisaid_meta_2011-2014.xls	A/Adana/66/2014	2014-01-06	SIAT1/SIAT1	2014-01-06	Refik_Saydam_National_Public_Health_Agency	EPI_ISL_155884|A/Adana/66/2014|2014-01-06|SIAT1/SIAT1|2014-01-06|Refik_Saydam_National_Public_Health_Agency	566	0	e71165129920c43a	cell	1	2	True	True	1	1	1	566	1	ha1_complete	1	1	0	1.0	0	0	single_isolate_id	False
